url,title,content,error
https://news.detik.com/berita/d-7477855/program-jkn-bantu-mega-keluarga-dapat-akses-layanan-kesehatan-gratis,Program JKN Bantu Mega & Keluarga Dapat Akses Layanan Kesehatan Gratis,"Seorang peserta BPJS Kesehatan Mega Purwanti (31) mengakui terbantu dengan kehadiran Program Jaminan Kesehatan Nasional (JKN). JKN yang telah hadir selama 10 tahun ini, membantu dirinya untuk mendapatkan akses layanan kesehatan secara gratis.
Dia mengatakan program JKN telah membantu dalam penjaminan pengobatan penyakit anggota keluarganya terutama untuk penyakit Tuberkulosis (TBC) yang diderita oleh suaminya. Selain itu, Program JKN telah membantu dalam menjamin pengobatan anaknya yang mengalami gizi buruk.
Selain itu, dia pun menilai pelayanan kesehatan yang dihadirkan oleh rumah sakit tergolong memuaskan. Meskipun menggunakan BPJS Kesehatan, perawat dan dokternya memberikan pelayanan kesehatan secara profesional. Meskipun dirinya merupakan peserta segmen PBI dari pemerintah, Mega merasa tidak ada perbedaan perlakuan yang dirasakan.

SCROLL TO CONTINUE WITH CONTENT

""Selama ini saya beserta keluarga melakukan pengobatan di rumah sakit menggunakan BPJS Kesehatan merasa sangat puas dengan pelayanannya. Terutama anak saya yang menderita gizi buruk seringkali bolak-balik rumah sakit untuk melakukan pengobatan. Kita dilayani dengan baik, perawatnya ramah serta dokternya juga menjelaskan dengan sangat detail tentang penyakit anak saya. Walaupun saya mendapatkan bantuan iuran dari pemerintah, saya tetap diperlakukan sama dengan pasien lainnya baik dari segi fasilitas yang diberikan rumah sakit maupun pelayanannya,"" kata Mega dalam keterangan tertulis, Rabu (7/8/2024).
Dia mengatakan sang suami tercinta menderita TBC pernah mendapatkan perawatan di salah satu RS di Kabupaten Bekasi, sementara anaknya yang menderita gizi buruk juga dirawat di RS yang berbeda di Kabupaten Bekasi. Menurut Mega, BPJS Kesehatan sangat membantu dalam meringankan beban biaya pengobatan keluarganya.
""Suami saya menderita TBC berobat dan pernah dirawat di salah satu RS di Kabupaten Bekasi, sementara anak saya mengalami gizi buruk, berobat di rumah sakit yang berbeda cuma masih di wilayah yang sama. Adanya BPJS Kesehatan sangat membantu saya terutama dalam masalah biaya berobat,"" ungkapnya.
Ibu tiga anak ini menjelaskan proses pengobatan anak yang menderita TBC dan gizi buruk membutuhkan waktu dan kesabaran. Untuk pengobatan TBC, anaknya memerlukan waktu enam bulan. Sementara itu, untuk masalah gizi buruk, anaknya harus menunggu hingga kondisi gizinya stabil sebelum bisa lepas dari alat bantu.
""Untuk pengobatannya lumayan lama ya, karena obatnya rutin dan harus menunggu dalam waktu tertentu juga. Untuk TBC anak saya harus berobat selama 6 bulan dan gizinya harus dipenuhi dulu agar stabil setelah itu baru diizinkan untuk lepas alat bantu,"" tuturnya.
Setelah aktif sebagai peserta JKN, Mega semakin merasakan betapa pentingnya BPJS Kesehatan dalam meringankan beban biaya pengobatan. Mega berharap Program JKN akan terus ada dan selalu memberikan pelayanan terbaik pada masyarakat, terutama bagi mereka yang membutuhkan bantuan kesehatan seperti dirinya.
""Sebelum pakai BPJS Kesehatan, suami saya dirawat di rumah sakit termasuk dengan rontgen bayar Rp 2,5 juta, untuk berobat TBC-nya aja Rp 300-400 ribu. Bener-bener setelah daftar BPJS Kesehatan terasa banget ringannya untuk biaya dalam berobat. Semoga BPJS Kesehatan selalu memberikan pelayanan terbaik pada masyarakat,"" tutup Mega.

",
https://www.cnnindonesia.com/ekonomi/20230828195349-92-991552/uang-bpjs-terkuras-rp10-t-imbas-penyakit-napas-termasuk-dampak-polusi,,,"Failed to fetch page, status code: 403"
https://www.cnnindonesia.com/ekonomi/20210715134614-83-668092/jalan-kesembuhan-habudin-lawan-tbc-bersama-jkn-kis,,,"Failed to fetch page, status code: 403"
